"","species_common","species_scientific","leaf_nlayers","leaf_chlorophyll_a","leaf_chlorophyll_b","leaf_chlorophyll_total","leaf_carotenoid_total","leaf_anthocyanin_total","LMA","leafC","leafH","leafO","leafN","project","sample_year","sample_name","sample_id","leaf_water_content","c2n_leaf","leaf_protein_percent","leaf_cellulose_percent","leaf_lignin_percent","leaf_starch_percent"
"230","Common reed","Phragmites australis",1.67,77.6,21.2,98.8,28.35,NA,82,44.92,6.24,37.63,2.78,"LOPEX",1993,"Phragmites australis_Leaf46","LOPEX_Phragmites australis_Leaf46_1993",91,16.158273381295,18.065,23.31,5.835,NA
"231","Bamboo","Bambusa arundinacea",1.43,42.39,12.33,54.72,12.63,NA,55,46.44,6.19,39.05,2.66,"LOPEX",1993,"Bambusa arundinacea_Leaf47","LOPEX_Bambusa arundinacea_Leaf47_1993",62,17.4586466165414,17.45,28.335,5.485,NA
"232","Bamboo","Bambusa arundinacea",1.49,42.39,12.33,54.72,12.63,NA,60,46.44,6.19,39.05,2.66,"LOPEX",1993,"Bambusa arundinacea_Leaf47","LOPEX_Bambusa arundinacea_Leaf47_1993",70,17.4586466165414,17.45,28.335,5.485,NA
"233","Bamboo","Bambusa arundinacea",1.49,42.39,12.33,54.72,12.63,NA,61,46.44,6.19,39.05,2.66,"LOPEX",1993,"Bambusa arundinacea_Leaf47","LOPEX_Bambusa arundinacea_Leaf47_1993",67,17.4586466165414,17.45,28.335,5.485,NA
"234","Bamboo","Bambusa arundinacea",1.48,42.39,12.33,54.72,12.63,NA,63,46.44,6.19,39.05,2.66,"LOPEX",1993,"Bambusa arundinacea_Leaf47","LOPEX_Bambusa arundinacea_Leaf47_1993",66,17.4586466165414,17.45,28.335,5.485,NA
"235","Bamboo","Bambusa arundinacea",1.45,42.39,12.33,54.72,12.63,NA,56,46.44,6.19,39.05,2.66,"LOPEX",1993,"Bambusa arundinacea_Leaf47","LOPEX_Bambusa arundinacea_Leaf47_1993",59,17.4586466165414,17.45,28.335,5.485,NA
"236","Apricot","Prunus armeniaca",1.61,33.75,11.45,45.2,11.53,NA,91,46.22,5.92,39.38,2.37,"LOPEX",1993,"Pru-arm_Leaf48","LOPEX_Pru-arm_Leaf48_1993",136,19.5021097046413,18.25,11.72,9.665,3.405
"237","Apricot","Prunus armeniaca",1.62,33.75,11.45,45.2,11.53,NA,60,46.22,5.92,39.38,2.37,"LOPEX",1993,"Pru-arm_Leaf48","LOPEX_Pru-arm_Leaf48_1993",108,19.5021097046413,18.25,11.72,9.665,3.405
"238","Apricot","Prunus armeniaca",1.62,33.75,11.45,45.2,11.53,NA,74,46.22,5.92,39.38,2.37,"LOPEX",1993,"Pru-arm_Leaf48","LOPEX_Pru-arm_Leaf48_1993",114,19.5021097046413,18.25,11.72,9.665,3.405
"239","Apricot","Prunus armeniaca",1.61,33.75,11.45,45.2,11.53,NA,90,46.22,5.92,39.38,2.37,"LOPEX",1993,"Pru-arm_Leaf48","LOPEX_Pru-arm_Leaf48_1993",140,19.5021097046413,18.25,11.72,9.665,3.405
"240","Apricot","Prunus armeniaca",1.6,33.75,11.45,45.2,11.53,NA,69,46.22,5.92,39.38,2.37,"LOPEX",1993,"Pru-arm_Leaf48","LOPEX_Pru-arm_Leaf48_1993",121,19.5021097046413,18.25,11.72,9.665,3.405
"241","Wych elm","Ulmus glabra",1.64,38.13,13.61,51.74,9.29,NA,50,45.08,6,39.29,2.55,"LOPEX",1993,"Ulmus glabra_Leaf49","LOPEX_Ulmus glabra_Leaf49_1993",67,17.678431372549,16.745,16,4.715,0.8
"242","Wych elm","Ulmus glabra",1.41,38.13,13.61,51.74,9.29,NA,31,45.08,6,39.29,2.55,"LOPEX",1993,"Ulmus glabra_Leaf49","LOPEX_Ulmus glabra_Leaf49_1993",51,17.678431372549,16.745,16,4.715,0.8
"243","Wych elm","Ulmus glabra",1.42,38.13,13.61,51.74,9.29,NA,45,45.08,6,39.29,2.55,"LOPEX",1993,"Ulmus glabra_Leaf49","LOPEX_Ulmus glabra_Leaf49_1993",61,17.678431372549,16.745,16,4.715,0.8
"244","Wych elm","Ulmus glabra",1.54,38.13,13.61,51.74,9.29,NA,33,45.08,6,39.29,2.55,"LOPEX",1993,"Ulmus glabra_Leaf49","LOPEX_Ulmus glabra_Leaf49_1993",49,17.678431372549,16.745,16,4.715,0.8
"245","Wych elm","Ulmus glabra",1.4,38.13,13.61,51.74,9.29,NA,42,45.08,6,39.29,2.55,"LOPEX",1993,"Ulmus glabra_Leaf49","LOPEX_Ulmus glabra_Leaf49_1993",46,17.678431372549,16.745,16,4.715,0.8
"246","English ivy","Hedera helix",2.05,44.39,14.55,58.94,14.25,NA,60,49.47,7.7,37.94,2.3,"LOPEX",1993,"Hed-hel_Leaf50","LOPEX_Hed-hel_Leaf50_1993",115,21.5086956521739,14.675,21.165,13.335,NA
"247","English ivy","Hedera helix",1.99,44.39,14.55,58.94,14.25,NA,70,49.47,7.7,37.94,2.3,"LOPEX",1993,"Hed-hel_Leaf50","LOPEX_Hed-hel_Leaf50_1993",124,21.5086956521739,14.675,21.165,13.335,NA
"248","English ivy","Hedera helix",2.14,44.39,14.55,58.94,14.25,NA,71,49.47,7.7,37.94,2.3,"LOPEX",1993,"Hed-hel_Leaf50","LOPEX_Hed-hel_Leaf50_1993",138,21.5086956521739,14.675,21.165,13.335,NA
"249","English ivy","Hedera helix",2.04,44.39,14.55,58.94,14.25,NA,75,49.47,7.7,37.94,2.3,"LOPEX",1993,"Hed-hel_Leaf50","LOPEX_Hed-hel_Leaf50_1993",119,21.5086956521739,14.675,21.165,13.335,NA
"250","English ivy","Hedera helix",2.07,44.39,14.55,58.94,14.25,NA,93,49.47,7.7,37.94,2.3,"LOPEX",1993,"Hed-hel_Leaf50","LOPEX_Hed-hel_Leaf50_1993",128,21.5086956521739,14.675,21.165,13.335,NA
"251","Black locust","Robinia pseudoacacia",1.38,25.7,7.3,33.01,6.85,NA,38,49.07,5.94,38.5,4.42,"LOPEX",1993,"Rob-pse_Leaf51","LOPEX_Rob-pse_Leaf51_1993",68,11.1018099547511,26.555,13.14,11.615,4.185
"252","Black locust","Robinia pseudoacacia",1.34,25.7,7.3,33.01,6.85,NA,35,49.07,5.94,38.5,4.42,"LOPEX",1993,"Rob-pse_Leaf51","LOPEX_Rob-pse_Leaf51_1993",63,11.1018099547511,26.555,13.14,11.615,4.185
"253","Black locust","Robinia pseudoacacia",1.26,25.7,7.3,33.01,6.85,NA,36,49.07,5.94,38.5,4.42,"LOPEX",1993,"Rob-pse_Leaf51","LOPEX_Rob-pse_Leaf51_1993",70,11.1018099547511,26.555,13.14,11.615,4.185
"254","Black locust","Robinia pseudoacacia",1.35,25.7,7.3,33.01,6.85,NA,30,49.07,5.94,38.5,4.42,"LOPEX",1993,"Rob-pse_Leaf51","LOPEX_Rob-pse_Leaf51_1993",67,11.1018099547511,26.555,13.14,11.615,4.185
"255","Black locust","Robinia pseudoacacia",1.31,25.7,7.3,33.01,6.85,NA,35,49.07,5.94,38.5,4.42,"LOPEX",1993,"Rob-pse_Leaf51","LOPEX_Rob-pse_Leaf51_1993",60,11.1018099547511,26.555,13.14,11.615,4.185
"256","Black cherry","Prunus serotina",1.65,49.76,14.95,64.71,12.86,NA,87,48.44,5.99,38.04,2.81,"LOPEX",1993,"Prunus serotina_Leaf52","LOPEX_Prunus serotina_Leaf52_1993",98,17.2384341637011,18.205,11.715,6.165,NA
"257","Black cherry","Prunus serotina",1.62,49.76,14.95,64.71,12.86,NA,80,48.44,5.99,38.04,2.81,"LOPEX",1993,"Prunus serotina_Leaf52","LOPEX_Prunus serotina_Leaf52_1993",93,17.2384341637011,18.205,11.715,6.165,NA
"258","Black cherry","Prunus serotina",1.66,49.76,14.95,64.71,12.86,NA,72,48.44,5.99,38.04,2.81,"LOPEX",1993,"Prunus serotina_Leaf52","LOPEX_Prunus serotina_Leaf52_1993",85,17.2384341637011,18.205,11.715,6.165,NA
"259","Black cherry","Prunus serotina",1.72,49.76,14.95,64.71,12.86,NA,86,48.44,5.99,38.04,2.81,"LOPEX",1993,"Prunus serotina_Leaf52","LOPEX_Prunus serotina_Leaf52_1993",89,17.2384341637011,18.205,11.715,6.165,NA
"260","Black cherry","Prunus serotina",1.69,49.76,14.95,64.71,12.86,NA,78,48.44,5.99,38.04,2.81,"LOPEX",1993,"Prunus serotina_Leaf52","LOPEX_Prunus serotina_Leaf52_1993",92,17.2384341637011,18.205,11.715,6.165,NA
"261","European ash","Fraxinus excelsior",1.83,46.31,14.06,60.37,15.19,NA,61,46.82,6.07,38.97,2.7,"LOPEX",1993,"Fra-exc_Leaf53","LOPEX_Fra-exc_Leaf53_1993",64,17.3407407407407,17.74,12.635,15.165,1.22
"262","European ash","Fraxinus excelsior",2.03,46.31,14.06,60.37,15.19,NA,46,46.82,6.07,38.97,2.7,"LOPEX",1993,"Fra-exc_Leaf53","LOPEX_Fra-exc_Leaf53_1993",45,17.3407407407407,17.74,12.635,15.165,1.22
"263","European ash","Fraxinus excelsior",2.04,46.31,14.06,60.37,15.19,NA,55,46.82,6.07,38.97,2.7,"LOPEX",1993,"Fra-exc_Leaf53","LOPEX_Fra-exc_Leaf53_1993",42,17.3407407407407,17.74,12.635,15.165,1.22
"264","European ash","Fraxinus excelsior",2.28,46.31,14.06,60.37,15.19,NA,57,46.82,6.07,38.97,2.7,"LOPEX",1993,"Fra-exc_Leaf53","LOPEX_Fra-exc_Leaf53_1993",37,17.3407407407407,17.74,12.635,15.165,1.22
"265","European ash","Fraxinus excelsior",2.18,46.31,14.06,60.37,15.19,NA,66,46.82,6.07,38.97,2.7,"LOPEX",1993,"Fra-exc_Leaf53","LOPEX_Fra-exc_Leaf53_1993",43,17.3407407407407,17.74,12.635,15.165,1.22
"266","Cabbage","Brassica oleracea",2.06,50.51,18.3,68.82,11.92,NA,50,42.24,6.1,37.58,5.22,"LOPEX",1993,"Bra-ole_Leaf54","LOPEX_Bra-ole_Leaf54_1993",241,8.09195402298851,34.325,14.07,4.31,NA
"267","Cabbage","Brassica oleracea",1.84,50.51,18.3,68.82,11.92,NA,53,42.24,6.1,37.58,5.22,"LOPEX",1993,"Bra-ole_Leaf54","LOPEX_Bra-ole_Leaf54_1993",274,8.09195402298851,34.325,14.07,4.31,NA
"268","Cabbage","Brassica oleracea",2.06,50.51,18.3,68.82,11.92,NA,57,42.24,6.1,37.58,5.22,"LOPEX",1993,"Bra-ole_Leaf54","LOPEX_Bra-ole_Leaf54_1993",256,8.09195402298851,34.325,14.07,4.31,NA
"269","Cabbage","Brassica oleracea",1.84,50.51,18.3,68.82,11.92,NA,58,42.24,6.1,37.58,5.22,"LOPEX",1993,"Bra-ole_Leaf54","LOPEX_Bra-ole_Leaf54_1993",273,8.09195402298851,34.325,14.07,4.31,NA
"270","Cabbage","Brassica oleracea",2.21,50.51,18.3,68.82,11.92,NA,43,42.24,6.1,37.58,5.22,"LOPEX",1993,"Bra-ole_Leaf54","LOPEX_Bra-ole_Leaf54_1993",186,8.09195402298851,34.325,14.07,4.31,NA
"271","German iris","Iris germanica",2.6,58,19.53,77.53,14.58,NA,84,NA,NA,NA,NA,"LOPEX",1993,"Iri-ger_Leaf55","LOPEX_Iri-ger_Leaf55_1993",390,NA,15.475,25.805,3.79,NA
"272","German iris","Iris germanica",3,58,19.53,77.53,14.58,NA,91,NA,NA,NA,NA,"LOPEX",1993,"Iri-ger_Leaf55","LOPEX_Iri-ger_Leaf55_1993",472,NA,15.475,25.805,3.79,NA
"273","German iris","Iris germanica",2.65,58,19.53,77.53,14.58,NA,80,NA,NA,NA,NA,"LOPEX",1993,"Iri-ger_Leaf55","LOPEX_Iri-ger_Leaf55_1993",359,NA,15.475,25.805,3.79,NA
"274","German iris","Iris germanica",2.6,58,19.53,77.53,14.58,NA,73,NA,NA,NA,NA,"LOPEX",1993,"Iri-ger_Leaf55","LOPEX_Iri-ger_Leaf55_1993",362,NA,15.475,25.805,3.79,NA
"275","German iris","Iris germanica",2.89,58,19.53,77.53,14.58,NA,84,NA,NA,NA,NA,"LOPEX",1993,"Iri-ger_Leaf55","LOPEX_Iri-ger_Leaf55_1993",439,NA,15.475,25.805,3.79,NA
"276","Wine grape","Vitis vinifera",1.52,25.5,10.24,35.73,7.78,NA,55,47.39,6.12,40.92,3.23,"LOPEX",1993,"Vit-vin_Leaf56","LOPEX_Vit-vin_Leaf56_1993",121,14.671826625387,19.42,10.62,16.455,3.46
"277","Wine grape","Vitis vinifera",1.49,25.5,10.24,35.73,7.78,NA,43,47.39,6.12,40.92,3.23,"LOPEX",1993,"Vit-vin_Leaf56","LOPEX_Vit-vin_Leaf56_1993",112,14.671826625387,19.42,10.62,16.455,3.46
"278","Wine grape","Vitis vinifera",1.46,25.5,10.24,35.73,7.78,NA,47,47.39,6.12,40.92,3.23,"LOPEX",1993,"Vit-vin_Leaf56","LOPEX_Vit-vin_Leaf56_1993",134,14.671826625387,19.42,10.62,16.455,3.46
"279","Wine grape","Vitis vinifera",1.49,25.5,10.24,35.73,7.78,NA,54,47.39,6.12,40.92,3.23,"LOPEX",1993,"Vit-vin_Leaf56","LOPEX_Vit-vin_Leaf56_1993",107,14.671826625387,19.42,10.62,16.455,3.46
"280","Wine grape","Vitis vinifera",1.45,25.5,10.24,35.73,7.78,NA,47,47.39,6.12,40.92,3.23,"LOPEX",1993,"Vit-vin_Leaf56","LOPEX_Vit-vin_Leaf56_1993",106,14.671826625387,19.42,10.62,16.455,3.46
"281","White mulberry","Morus alba",1.79,31.23,7.24,38.47,11.39,NA,64,42.72,6.95,38.12,3.74,"LOPEX",1993,"Mor-alb_Leaf57","LOPEX_Mor-alb_Leaf57_1993",111,11.4224598930481,23.72,11.86,4.81,NA
"282","White mulberry","Morus alba",1.53,31.23,7.24,38.47,11.39,NA,50,42.72,6.95,38.12,3.74,"LOPEX",1993,"Mor-alb_Leaf57","LOPEX_Mor-alb_Leaf57_1993",91,11.4224598930481,23.72,11.86,4.81,NA
"283","White mulberry","Morus alba",1.59,31.23,7.24,38.47,11.39,NA,53,42.72,6.95,38.12,3.74,"LOPEX",1993,"Mor-alb_Leaf57","LOPEX_Mor-alb_Leaf57_1993",94,11.4224598930481,23.72,11.86,4.81,NA
"284","White mulberry","Morus alba",1.77,31.23,7.24,38.47,11.39,NA,47,42.72,6.95,38.12,3.74,"LOPEX",1993,"Mor-alb_Leaf57","LOPEX_Mor-alb_Leaf57_1993",89,11.4224598930481,23.72,11.86,4.81,NA
"285","White mulberry","Morus alba",1.44,31.23,7.24,38.47,11.39,NA,49,42.72,6.95,38.12,3.74,"LOPEX",1993,"Mor-alb_Leaf57","LOPEX_Mor-alb_Leaf57_1993",91,11.4224598930481,23.72,11.86,4.81,NA
"286","White willow","Salix alba",1.72,34.49,10.83,45.31,11.83,NA,81,48.1,6.27,38.61,2.28,"LOPEX",1993,"Sal-alb_Leaf58","LOPEX_Sal-alb_Leaf58_1993",90,21.0964912280702,14.38,13.665,9.355,1.425
"287","White willow","Salix alba",1.73,34.49,10.83,45.31,11.83,NA,74,48.1,6.27,38.61,2.28,"LOPEX",1993,"Sal-alb_Leaf58","LOPEX_Sal-alb_Leaf58_1993",118,21.0964912280702,14.38,13.665,9.355,1.425
"288","White willow","Salix alba",1.83,34.49,10.83,45.31,11.83,NA,75,48.1,6.27,38.61,2.28,"LOPEX",1993,"Sal-alb_Leaf58","LOPEX_Sal-alb_Leaf58_1993",95,21.0964912280702,14.38,13.665,9.355,1.425
"289","White willow","Salix alba",1.83,34.49,10.83,45.31,11.83,NA,76,48.1,6.27,38.61,2.28,"LOPEX",1993,"Sal-alb_Leaf58","LOPEX_Sal-alb_Leaf58_1993",75,21.0964912280702,14.38,13.665,9.355,1.425
"290","White willow","Salix alba",1.77,34.49,10.83,45.31,11.83,NA,80,48.1,6.27,38.61,2.28,"LOPEX",1993,"Sal-alb_Leaf58","LOPEX_Sal-alb_Leaf58_1993",109,21.0964912280702,14.38,13.665,9.355,1.425
"291","Wine grape","Vitis vinifera",1.83,31.18,11.46,42.64,12.23,NA,43,46.42,6.2,39.96,3.12,"LOPEX",1993,"Vit-vin_Leaf59","LOPEX_Vit-vin_Leaf59_1993",98,14.8782051282051,20.76,11.805,14.765,2.65
"292","Wine grape","Vitis vinifera",1.77,31.18,11.46,42.64,12.23,NA,49,46.42,6.2,39.96,3.12,"LOPEX",1993,"Vit-vin_Leaf59","LOPEX_Vit-vin_Leaf59_1993",110,14.8782051282051,20.76,11.805,14.765,2.65
"293","Wine grape","Vitis vinifera",1.76,31.18,11.46,42.64,12.23,NA,43,46.42,6.2,39.96,3.12,"LOPEX",1993,"Vit-vin_Leaf59","LOPEX_Vit-vin_Leaf59_1993",111,14.8782051282051,20.76,11.805,14.765,2.65
"294","Wine grape","Vitis vinifera",1.77,31.18,11.46,42.64,12.23,NA,52,46.42,6.2,39.96,3.12,"LOPEX",1993,"Vit-vin_Leaf59","LOPEX_Vit-vin_Leaf59_1993",111,14.8782051282051,20.76,11.805,14.765,2.65
"295","Wine grape","Vitis vinifera",1.9,31.18,11.46,42.64,12.23,NA,55,46.42,6.2,39.96,3.12,"LOPEX",1993,"Vit-vin_Leaf59","LOPEX_Vit-vin_Leaf59_1993",111,14.8782051282051,20.76,11.805,14.765,2.65
"296","Abyssinian banana","Ensete ventricosum",1.67,27.3,7.65,34.95,8.25,NA,39,43.84,5.52,38.39,3.27,"LOPEX",1993,"Ensete ventricosum_Leaf60","LOPEX_Ensete ventricosum_Leaf60_1993",123,13.4067278287462,21.02,20.055,3.92,1.195
"297","Abyssinian banana","Ensete ventricosum",1.7,27.3,7.65,34.95,8.25,NA,39,43.84,5.52,38.39,3.27,"LOPEX",1993,"Ensete ventricosum_Leaf60","LOPEX_Ensete ventricosum_Leaf60_1993",127,13.4067278287462,21.02,20.055,3.92,1.195
"298","Abyssinian banana","Ensete ventricosum",1.67,27.3,7.65,34.95,8.25,NA,37,43.84,5.52,38.39,3.27,"LOPEX",1993,"Ensete ventricosum_Leaf60","LOPEX_Ensete ventricosum_Leaf60_1993",120,13.4067278287462,21.02,20.055,3.92,1.195
"299","Abyssinian banana","Ensete ventricosum",1.69,27.3,7.65,34.95,8.25,NA,46,43.84,5.52,38.39,3.27,"LOPEX",1993,"Ensete ventricosum_Leaf60","LOPEX_Ensete ventricosum_Leaf60_1993",143,13.4067278287462,21.02,20.055,3.92,1.195
"300","Abyssinian banana","Ensete ventricosum",1.69,27.3,7.65,34.95,8.25,NA,39,43.84,5.52,38.39,3.27,"LOPEX",1993,"Ensete ventricosum_Leaf60","LOPEX_Ensete ventricosum_Leaf60_1993",117,13.4067278287462,21.02,20.055,3.92,1.195
"301","European chestnut","Castanea sativa",1.5,33.64,8.42,42.06,10.81,NA,59,49.98,6.98,39.84,2.35,"LOPEX",1993,"Castanea sativa_Leaf61","LOPEX_Castanea sativa_Leaf61_1993",68,21.268085106383,14.17,23.945,10.76,1.6
"302","European chestnut","Castanea sativa",1.54,33.64,8.42,42.06,10.81,NA,60,49.98,6.98,39.84,2.35,"LOPEX",1993,"Castanea sativa_Leaf61","LOPEX_Castanea sativa_Leaf61_1993",67,21.268085106383,14.17,23.945,10.76,1.6
"303","European chestnut","Castanea sativa",1.4,33.64,8.42,42.06,10.81,NA,40,49.98,6.98,39.84,2.35,"LOPEX",1993,"Castanea sativa_Leaf61","LOPEX_Castanea sativa_Leaf61_1993",60,21.268085106383,14.17,23.945,10.76,1.6
"304","European chestnut","Castanea sativa",1.46,33.64,8.42,42.06,10.81,NA,57,49.98,6.98,39.84,2.35,"LOPEX",1993,"Castanea sativa_Leaf61","LOPEX_Castanea sativa_Leaf61_1993",69,21.268085106383,14.17,23.945,10.76,1.6
"305","European chestnut","Castanea sativa",1.45,33.64,8.42,42.06,10.81,NA,56,49.98,6.98,39.84,2.35,"LOPEX",1993,"Castanea sativa_Leaf61","LOPEX_Castanea sativa_Leaf61_1993",73,21.268085106383,14.17,23.945,10.76,1.6
"306","European birch","Betula pendula",1.74,27.85,8.86,36.71,8.62,NA,69,50.79,6.7,37.99,2.24,"LOPEX",1993,"Betula pendula_Leaf62","LOPEX_Betula pendula_Leaf62_1993",93,22.6741071428571,14.94,19.445,14.05,2.1
"307","European birch","Betula pendula",1.79,27.85,8.86,36.71,8.62,NA,59,50.79,6.7,37.99,2.24,"LOPEX",1993,"Betula pendula_Leaf62","LOPEX_Betula pendula_Leaf62_1993",78,22.6741071428571,14.94,19.445,14.05,2.1
"308","European birch","Betula pendula",1.77,27.85,8.86,36.71,8.62,NA,59,50.79,6.7,37.99,2.24,"LOPEX",1993,"Betula pendula_Leaf62","LOPEX_Betula pendula_Leaf62_1993",78,22.6741071428571,14.94,19.445,14.05,2.1
"309","European birch","Betula pendula",1.87,27.85,8.86,36.71,8.62,NA,65,50.79,6.7,37.99,2.24,"LOPEX",1993,"Betula pendula_Leaf62","LOPEX_Betula pendula_Leaf62_1993",83,22.6741071428571,14.94,19.445,14.05,2.1
"310","European birch","Betula pendula",1.7,27.85,8.86,36.71,8.62,NA,52,50.79,6.7,37.99,2.24,"LOPEX",1993,"Betula pendula_Leaf62","LOPEX_Betula pendula_Leaf62_1993",74,22.6741071428571,14.94,19.445,14.05,2.1
"311","Alfalfa","Medicago sativa",1.58,26.94,8.23,35.16,6.77,NA,39,46.06,6.4,36.87,5.8,"LOPEX",1993,"Med-sat_Leaf63","LOPEX_Med-sat_Leaf63_1993",113,7.94137931034483,34.295,12.2,4.845,NA
"312","Alfalfa","Medicago sativa",1.44,26.94,8.23,35.16,6.77,NA,26,46.06,6.4,36.87,5.8,"LOPEX",1993,"Med-sat_Leaf63","LOPEX_Med-sat_Leaf63_1993",95,7.94137931034483,34.295,12.2,4.845,NA
"313","Alfalfa","Medicago sativa",1.51,26.94,8.23,35.16,6.77,NA,30,46.06,6.4,36.87,5.8,"LOPEX",1993,"Med-sat_Leaf63","LOPEX_Med-sat_Leaf63_1993",95,7.94137931034483,34.295,12.2,4.845,NA
"314","Alfalfa","Medicago sativa",1.53,26.94,8.23,35.16,6.77,NA,22,46.06,6.4,36.87,5.8,"LOPEX",1993,"Med-sat_Leaf63","LOPEX_Med-sat_Leaf63_1993",112,7.94137931034483,34.295,12.2,4.845,NA
"315","Alfalfa","Medicago sativa",1.41,26.94,8.23,35.16,6.77,NA,17,46.06,6.4,36.87,5.8,"LOPEX",1993,"Med-sat_Leaf63","LOPEX_Med-sat_Leaf63_1993",96,7.94137931034483,34.295,12.2,4.845,NA
"316","Tomato","Lycopersicum esculentum",1.45,38.6,13.65,52.25,8.88,NA,24,37.47,5.37,39.28,4.33,"LOPEX",1993,"Lycopersicum esculentum_Leaf64","LOPEX_Lycopersicum esculentum_Leaf64_1993",172,8.65357967667437,27.325,11.26,5.155,0.94
"317","Tomato","Lycopersicum esculentum",1.54,38.6,13.65,52.25,8.88,NA,24,37.47,5.37,39.28,4.33,"LOPEX",1993,"Lycopersicum esculentum_Leaf64","LOPEX_Lycopersicum esculentum_Leaf64_1993",163,8.65357967667437,27.325,11.26,5.155,0.94
"318","Tomato","Lycopersicum esculentum",1.66,38.6,13.65,52.25,8.88,NA,24,37.47,5.37,39.28,4.33,"LOPEX",1993,"Lycopersicum esculentum_Leaf64","LOPEX_Lycopersicum esculentum_Leaf64_1993",165,8.65357967667437,27.325,11.26,5.155,0.94
"319","Tomato","Lycopersicum esculentum",1.69,38.6,13.65,52.25,8.88,NA,24,37.47,5.37,39.28,4.33,"LOPEX",1993,"Lycopersicum esculentum_Leaf64","LOPEX_Lycopersicum esculentum_Leaf64_1993",171,8.65357967667437,27.325,11.26,5.155,0.94
"320","Tomato","Lycopersicum esculentum",1.64,38.6,13.65,52.25,8.88,NA,34,37.47,5.37,39.28,4.33,"LOPEX",1993,"Lycopersicum esculentum_Leaf64","LOPEX_Lycopersicum esculentum_Leaf64_1993",247,8.65357967667437,27.325,11.26,5.155,0.94
"321","Soybean","Glycine max",1.72,0.9,0.47,1.36,5.15,NA,32,45.06,6.13,40.08,2.2,"LOPEX",1993,"Gly-max_Leaf65","LOPEX_Gly-max_Leaf65_1993",80,20.4818181818182,11.53,12.325,5.09,3.11
"322","Soybean","Glycine max",1.7,0.9,0.47,1.36,5.15,NA,33,45.06,6.13,40.08,2.2,"LOPEX",1993,"Gly-max_Leaf65","LOPEX_Gly-max_Leaf65_1993",79,20.4818181818182,11.53,12.325,5.09,3.11
"323","Soybean","Glycine max",2.1,0.9,0.47,1.36,5.15,NA,35,45.06,6.13,40.08,2.2,"LOPEX",1993,"Gly-max_Leaf65","LOPEX_Gly-max_Leaf65_1993",21,20.4818181818182,11.53,12.325,5.09,3.11
"324","Soybean","Glycine max",1.91,0.9,0.47,1.36,5.15,NA,35,45.06,6.13,40.08,2.2,"LOPEX",1993,"Gly-max_Leaf65","LOPEX_Gly-max_Leaf65_1993",52,20.4818181818182,11.53,12.325,5.09,3.11
"325","Soybean","Glycine max",1.94,0.9,0.47,1.36,5.15,NA,31,45.06,6.13,40.08,2.2,"LOPEX",1993,"Gly-max_Leaf65","LOPEX_Gly-max_Leaf65_1993",64,20.4818181818182,11.53,12.325,5.09,3.11
"326","Rice","Oryza sativa",3,56.1,19.51,75.61,17.44,NA,57,42.84,5.86,38.1,1.64,"LOPEX",1993,"Ory-sat_Leaf66","LOPEX_Ory-sat_Leaf66_1993",88,26.1219512195122,10.83,27.29,6.9,NA
"327","Rice","Oryza sativa",1.95,56.1,19.51,75.61,17.44,NA,59,42.84,5.86,38.1,1.64,"LOPEX",1993,"Ory-sat_Leaf66","LOPEX_Ory-sat_Leaf66_1993",64,26.1219512195122,10.83,27.29,6.9,NA
"328","Rice","Oryza sativa",2.31,56.1,19.51,75.61,17.44,NA,72,42.84,5.86,38.1,1.64,"LOPEX",1993,"Ory-sat_Leaf66","LOPEX_Ory-sat_Leaf66_1993",80,26.1219512195122,10.83,27.29,6.9,NA
"329","Rice","Oryza sativa",1.77,56.1,19.51,75.61,17.44,NA,55,42.84,5.86,38.1,1.64,"LOPEX",1993,"Ory-sat_Leaf66","LOPEX_Ory-sat_Leaf66_1993",65,26.1219512195122,10.83,27.29,6.9,NA
"330","Rice","Oryza sativa",1.92,56.1,19.51,75.61,17.44,NA,51,42.84,5.86,38.1,1.64,"LOPEX",1993,"Ory-sat_Leaf66","LOPEX_Ory-sat_Leaf66_1993",79,26.1219512195122,10.83,27.29,6.9,NA
