"","sample_name","sample_year","site","plot","canopy_position","leaf_deltaN15","leaf_fiber_percent","leaf_lignin_percent","leaf_cellulose_percent","leafN","leafC","c2n_leaf","LMA","species_scientific","species_common","family","plant_type","succession","PFT","species_code","instrument","sample_id","project","pine_needle_oldnew","spruce_needle_age","leaf_water_content","comments"
"910","MN03_PIRE_BN",2008,"MN","MN03","B",-2.4602899765,57.86842631,32.23355329,25.63487303,1.104,48.927,44.313,151.4905039,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_MN03_PIRE_BN_2008","FFT","N",NA,350.56326,NA
"911","MN03_PIRE_BO",2008,"MN","MN03","B",-3.6510473,44.10471623,25.07993605,19.02478018,1.183,51.001,43.105,234.9983197,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_MN03_PIRE_BO_2008","FFT","O",NA,280.92755,NA
"912","MN03_PIRE_MN",2008,"MN","MN03","M",-2.8506339315,51.95686901,27.47603834,24.48083067,1.034,48.942,47.343,186.564733,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_MN03_PIRE_MN_2008","FFT","N",NA,391.37328,NA
"913","MN03_PIRE_MO",2008,"MN","MN03","M",-3.739280569,47.36,22.1,25.26,1.154,51.895,44.9685,289.9049633,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_MN03_PIRE_MO_2008","FFT","O",NA,282.89708,NA
"914","MN03_PIRE_TN",2008,"MN","MN03","T",-2.6058264375,54.67625899,31.69464428,22.98161471,1.084,48.95,45.159,186.0603654,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_MN03_PIRE_TN_2008","FFT","N",NA,400.31771,NA
"915","MN03_PIRE_TO",2008,"MN","MN03","T",-3.0712028785,41.88,22.78,19.1,1.1135,51.356,46.1345,281.0902896,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_MN03_PIRE_TO_2008","FFT","O",NA,302.70284,NA
"916","MN04_BEGL_T",2008,"MN","MN04","T",NA,NA,NA,NA,2.487,50.139,20.161,44.34544343,"Betula glandulosa","resin birch","Betulaceae","shrub","shrub","shrub","BEGL","ASD FieldSpec 3","FFT_MN04_BEGL_T_2008","FFT",NA,NA,94.0375,NA
"917","MN04_LEGR_T",2008,"MN","MN04","T",NA,NA,NA,NA,1.558,50.368,32.332,65.10288503,"Ledum groenlandicum","bog Labrador tea","Ericaceae","shrub","shrub","shrub","LEGR",NA,NA,"FFT",NA,NA,84.18296,NA
"918","MN04_LEGR_T2",2008,"MN","MN04","T",NA,NA,NA,NA,NA,NA,NA,NA,"Ledum groenlandicum","bog Labrador tea","Ericaceae","shrub","shrub","shrub","LEGR","ASD FieldSpec 3","FFT_MN04_LEGR_T2_2008","FFT",NA,"2",NA,NA
"919","MN04_LEGR_TN",2008,"MN","MN04","T",NA,NA,NA,NA,NA,NA,NA,NA,"Ledum groenlandicum","bog Labrador tea","Ericaceae","shrub","shrub","shrub","LEGR","ASD FieldSpec 3","FFT_MN04_LEGR_TN_2008","FFT",NA,"N",NA,NA
"920","MN04_PIMA_B2",2008,"MN","MN04","B",NA,NA,NA,NA,1.036,50.565,48.807,207.3940487,"Picea mariana","black spruce","Pinaceae","conifer","mid","mid conifer","PIMA","ASD FieldSpec 3","FFT_MN04_PIMA_B2_2008","FFT",NA,"2",250.22543,NA
"921","MN04_PIMA_B3",2008,"MN","MN04","B",NA,NA,NA,NA,0.921,50.186,54.492,208.9407191,"Picea mariana","black spruce","Pinaceae","conifer","mid","mid conifer","PIMA","ASD FieldSpec 3","FFT_MN04_PIMA_B3_2008","FFT",NA,"3",303.69291,NA
"922","MN04_PIMA_BN",2008,"MN","MN04","B",NA,NA,NA,NA,1.004,51.643,51.428,160.0376559,"Picea mariana","black spruce","Pinaceae","conifer","mid","mid conifer","PIMA","ASD FieldSpec 3","FFT_MN04_PIMA_BN_2008","FFT",NA,"N",369.49871,NA
"923","MN04_PIMA_M2",2008,"MN","MN04","M",NA,NA,NA,NA,1.027,49.976,48.655,260.1216698,"Picea mariana","black spruce","Pinaceae","conifer","mid","mid conifer","PIMA",NA,NA,"FFT",NA,"2",287.39249,NA
"924","MN04_PIMA_M3",2008,"MN","MN04","M",-9.3461042485,NA,NA,NA,0.933,47.378,50.774,265.3799759,"Picea mariana","black spruce","Pinaceae","conifer","mid","mid conifer","PIMA",NA,NA,"FFT",NA,"3",291.22867,NA
"925","MN04_PIMA_MN",2008,"MN","MN04","M",NA,NA,NA,NA,0.879,51.347,58.42,209.3301435,"Picea mariana","black spruce","Pinaceae","conifer","mid","mid conifer","PIMA",NA,NA,"FFT",NA,"N",326.95375,NA
"926","MN04_PIMA_T2",2008,"MN","MN04","T",NA,NA,NA,NA,1.142,50.86,44.549,226.5834077,"Picea mariana","black spruce","Pinaceae","conifer","mid","mid conifer","PIMA","ASD FieldSpec 3","FFT_MN04_PIMA_T2_2008","FFT",NA,"2",374.66548,NA
"927","MN04_PIMA_T3",2008,"MN","MN04","T",NA,NA,NA,NA,1.04,50.686,48.724,283.5332606,"Picea mariana","black spruce","Pinaceae","conifer","mid","mid conifer","PIMA","ASD FieldSpec 3","FFT_MN04_PIMA_T3_2008","FFT",NA,"3",339.87641,NA
"928","MN04_PIMA_TN",2008,"MN","MN04","T",NA,NA,NA,NA,1.085,50.59,46.643,200.721696,"Picea mariana","black spruce","Pinaceae","conifer","mid","mid conifer","PIMA","ASD FieldSpec 3","FFT_MN04_PIMA_TN_2008","FFT",NA,"N",324.76319,NA
"929","MN05_ABBA_B2",2008,"MN","MN05","B",NA,NA,NA,NA,NA,NA,NA,121.8829675,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_MN05_ABBA_B2_2008","FFT",NA,"2",185.93371,NA
"930","MN05_ABBA_B3",2008,"MN","MN05","B",NA,NA,NA,NA,1.458,53.305,36.565,131.7404854,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_MN05_ABBA_B3_2008","FFT",NA,"3",186.9865,NA
"931","MN05_ABBA_BN",2008,"MN","MN05","B",NA,NA,NA,NA,1.797,51.456,28.635,94.45992538,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_MN05_ABBA_BN_2008","FFT",NA,"N",194.58745,NA
"932","MN05_ABBA_M2",2008,"MN","MN05","M",NA,NA,NA,NA,1.489,52.343,35.145,171.1301256,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_MN05_ABBA_M2_2008","FFT",NA,"2",220.58006,NA
"933","MN05_ABBA_M3",2008,"MN","MN05","M",NA,NA,NA,NA,1.335,53.374,39.978,180.0742865,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_MN05_ABBA_M3_2008","FFT",NA,"3",214.86671,NA
"934","MN05_ABBA_MN",2008,"MN","MN05","M",NA,NA,NA,NA,1.569,50.814,32.385,139.2279179,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_MN05_ABBA_MN_2008","FFT",NA,"N",234.60808,NA
"935","MN05_ABBA_T2",2008,"MN","MN05","T",NA,NA,NA,NA,1.638,52.364,31.974,193.5024592,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_MN05_ABBA_T2_2008","FFT",NA,"2",251.10018,NA
"936","MN05_ABBA_T3",2008,"MN","MN05","T",NA,NA,NA,NA,1.433,52.828,36.877,214.0270003,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_MN05_ABBA_T3_2008","FFT",NA,"3",244.32005,NA
"937","MN05_ABBA_TN",2008,"MN","MN05","T",NA,NA,NA,NA,1.57,50.58,32.224,186.2495855,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_MN05_ABBA_TN_2008","FFT",NA,"N",279.65071,NA
"938","MN05_BEPA_B",2008,"MN","MN05","B",NA,NA,NA,NA,2.286,48.828,21.358,45.81314132,"Betula papyrifera","paper birch","Betulaceae","broadleaf","early","early hardwood","BEPA","ASD FieldSpec 3","FFT_MN05_BEPA_B_2008","FFT",NA,NA,91.73112,NA
"939","MN05_BEPA_M",2008,"MN","MN05","M",NA,NA,NA,NA,2.288,50.207,21.944,64.8932139,"Betula papyrifera","paper birch","Betulaceae","broadleaf","early","early hardwood","BEPA","ASD FieldSpec 3","FFT_MN05_BEPA_M_2008","FFT",NA,NA,95.40036,NA
"940","MN05_BEPA_T",2008,"MN","MN05","T",NA,NA,NA,NA,2.171,49.765,22.922,85.901074,"Betula papyrifera","paper birch","Betulaceae","broadleaf","early","early hardwood","BEPA","ASD FieldSpec 3","FFT_MN05_BEPA_T_2008","FFT",NA,NA,94.17073,NA
"941","MN05_COAM_T",2008,"MN","MN05","T",NA,NA,NA,NA,2.636,47.728,18.108,47.70018146,"Corylus americana","American hazelnut","Beulaceae","shrub","shrub","shrub","COAM3","ASD FieldSpec 3","FFT_MN05_COAM_T_2008","FFT",NA,NA,66.46575,NA
