"","sample_name","sample_year","site","plot","canopy_position","leaf_deltaN15","leaf_fiber_percent","leaf_lignin_percent","leaf_cellulose_percent","leafN","leafC","c2n_leaf","LMA","species_scientific","species_common","family","plant_type","succession","PFT","species_code","instrument","sample_id","project","pine_needle_oldnew","spruce_needle_age","leaf_water_content","comments"
"306","BH10_FRAM_M",2008,"BH","BH10","M",-3.1978765725,NA,NA,NA,3.459,46.1205,13.3345,46.03887808,"Fraxinus americana","white ash","Oleaceae","broadleaf","mid","mid hardwood","FRAM2","ASD FieldSpec 3","FFT_BH10_FRAM_M_2008","FFT",NA,NA,75.31656,NA
"307","BH10_FRAM_T",2008,"BH","BH10","T",-1.91203149,44.622947205,23.00543217,21.61751503,3.023,49.204,16.278,77.05798034,"Fraxinus americana","white ash","Oleaceae","broadleaf","mid","mid hardwood","FRAM2","ASD FieldSpec 3","FFT_BH10_FRAM_T_2008","FFT",NA,NA,115.26045,NA
"308","BH10_FRPE_T",2008,"BH","BH10","T",NA,36.28194888,16.73322684,19.54872204,NA,NA,NA,NA,"Fraxinus pennsylvanica","green ash","Oleaceae","broadleaf","mid","mid hardwood","FRPE",NA,NA,"FFT",NA,NA,NA,NA
"309","BH10_OSVI_T",2008,"BH","BH10","T",NA,NA,NA,NA,NA,NA,NA,24.8152818,"Ostrya virginiana","hophornbeam","Betulaceae","broadleaf","mid","mid hardwood","OSVI",NA,NA,"FFT",NA,NA,39.61738,NA
"310","BH11_ACRU_B",2008,"BH","BH11","B",NA,NA,NA,NA,2.555,49.372,19.325,34.066593,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_BH11_ACRU_B_2008","FFT",NA,NA,59.64375,NA
"311","BH11_ACRU_M",2008,"BH","BH11","M",NA,NA,NA,NA,2.316,48.792,21.066,34.61078778,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_BH11_ACRU_M_2008","FFT",NA,NA,52.13386,NA
"312","BH11_OSVI_M",2008,"BH","BH11","M",NA,NA,NA,NA,NA,NA,NA,28.29812837,"Ostrya virginiana","hophornbeam","Betulaceae","broadleaf","mid","mid hardwood","OSVI","ASD FieldSpec 3","FFT_BH11_OSVI_M_2008","FFT",NA,NA,36.78757,NA
"313","BH11_PIST_BN",2008,"BH","BH11","B",NA,NA,NA,NA,1.878,49.273,26.24,70.77931754,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_BH11_PIST_BN_2008","FFT","N",NA,147.519,NA
"314","BH11_PIST_BO",2008,"BH","BH11","B",NA,NA,NA,NA,1.716,50.209,29.264,124.3963888,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_BH11_PIST_BO_2008","FFT","O",NA,141.7174,NA
"315","BH11_PIST_MN",2008,"BH","BH11","M",NA,NA,NA,NA,1.559,50.298,32.263,82.02989225,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_BH11_PIST_MN_2008","FFT","N",NA,175.18248,NA
"316","BH11_PIST_MO",2008,"BH","BH11","M",NA,NA,NA,NA,1.533,52.054,33.963,146.9669845,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_BH11_PIST_MO_2008","FFT","O",NA,177.77593,NA
"317","BH11_PIST_TN",2008,"BH","BH11","T",NA,NA,NA,NA,1.573,50.687,32.22,106.2459755,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_BH11_PIST_TN_2008","FFT","N",NA,196.93067,NA
"318","BH11_PIST_TO",2008,"BH","BH11","T",NA,NA,NA,NA,1.533,52.77,34.414,262.7278441,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_BH11_PIST_TO_2008","FFT","O",NA,298.76388,NA
"319","BH11_PODE_M",2008,"BH","BH11","M",NA,NA,NA,NA,3.406,46.279,13.587,59.09955272,"Populus deltoides","eastern cottonwood","Salicaceae","broadleaf","early","early hardwood","PODE3","ASD FieldSpec 3","FFT_BH11_PODE_M_2008","FFT",NA,NA,134.30727,NA
"320","BH11_PODE_T",2008,"BH","BH11","T",NA,NA,NA,NA,3.301,46.514,14.091,91.42472243,"Populus deltoides","eastern cottonwood","Salicaceae","broadleaf","early","early hardwood","PODE3","ASD FieldSpec 3","FFT_BH11_PODE_T_2008","FFT",NA,NA,153.35409,NA
"321","BH11_ULAM_B",2008,"BH","BH11","B",NA,NA,NA,NA,3.08,43.583,14.151,27.64509464,"Ulmus americana","American elm","Ulmaceae","broadleaf","mid","mid hardwood","ULAM","ASD FieldSpec 3","FFT_BH11_ULAM_B_2008","FFT",NA,NA,62.80008,NA
"322","BH11_ULAM_M",2008,"BH","BH11","M",NA,NA,NA,NA,3.197,46.88,14.664,NA,"Ulmus americana","American elm","Ulmaceae","broadleaf","mid","mid hardwood","ULAM",NA,NA,"FFT",NA,NA,NA,NA
"323","BH11_ULAM_T",2008,"BH","BH11","T",NA,NA,NA,NA,3.227,45.557,14.12,50.17475838,"Ulmus americana","American elm","Ulmaceae","broadleaf","mid","mid hardwood","ULAM","ASD FieldSpec 3","FFT_BH11_ULAM_T_2008","FFT",NA,NA,81.84689,NA
"324","BH12_ACRU_B",2008,"BH","BH12","B",NA,NA,NA,NA,2.257,49.906,22.115,41.1411251,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_BH12_ACRU_B_2008","FFT",NA,NA,65.19453,NA
"325","BH12_ACRU_M",2008,"BH","BH12","M",NA,NA,NA,NA,1.997,50.082,25.081,54.582736075,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_BH12_ACRU_M_2008","FFT",NA,NA,65.62989,NA
"326","BH12_ACRU_T",2008,"BH","BH12","T",NA,NA,NA,NA,2.064,49.832,24.145,NA,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU",NA,NA,"FFT",NA,NA,NA,NA
"327","BH12_QUAL_B",2008,"BH","BH12","B",NA,NA,NA,NA,2.904,49.186,16.935,63.9973057,"Quercus alba","white oak","Fagaceae","broadleaf","mid","mid hardwood","QUAL",NA,NA,"FFT",NA,NA,73.79281,NA
"328","BH12_QUAL_M",2008,"BH","BH12","M",NA,NA,NA,NA,NA,NA,NA,99.58764408,"Quercus alba","white oak","Fagaceae","broadleaf","mid","mid hardwood","QUAL","ASD FieldSpec 3","FFT_BH12_QUAL_M_2008","FFT",NA,NA,107.42405,NA
"329","BH12_QUAL_T",2008,"BH","BH12","T",NA,NA,NA,NA,2.543,49.071,19.295,112.1041239,"Quercus alba","white oak","Fagaceae","broadleaf","mid","mid hardwood","QUAL",NA,NA,"FFT",NA,NA,120.48472,NA
"330","BH12_QURU_B",2008,"BH","BH12","B",NA,NA,NA,NA,3.142,50.091,15.943,55.29018928,"Quercus rubra","northern red oak","Fagaceae","broadleaf","mid","mid hardwood","QURU","ASD FieldSpec 3","FFT_BH12_QURU_B_2008","FFT",NA,NA,72.70442,NA
"331","BH12_QURU_M",2008,"BH","BH12","M",NA,NA,NA,NA,2.878,49.4205,17.173,87.94187587,"Quercus rubra","northern red oak","Fagaceae","broadleaf","mid","mid hardwood","QURU","ASD FieldSpec 3","FFT_BH12_QURU_M_2008","FFT",NA,NA,120.37588,NA
"332","BH12_QURU_T",2008,"BH","BH12","T",NA,NA,NA,NA,2.821,50.461,17.886,117.7637496,"Quercus rubra","northern red oak","Fagaceae","broadleaf","mid","mid hardwood","QURU","ASD FieldSpec 3","FFT_BH12_QURU_T_2008","FFT",NA,NA,138.44315,NA
"333","BH12_TIAM_B",2008,"BH","BH12","B",NA,NA,NA,NA,3.374,45.617,13.518,37.54943957,"Tilia americana","American basswood","Tiliaceae","broadleaf","late","late hardwood","TIAM","ASD FieldSpec 3","FFT_BH12_TIAM_B_2008","FFT",NA,NA,68.24202,NA
"334","BH12_TIAM_M",2008,"BH","BH12","M",NA,NA,NA,NA,3.663,47.125,12.865,46.03887808,"Tilia americana","American basswood","Tiliaceae","broadleaf","late","late hardwood","TIAM","ASD FieldSpec 3","FFT_BH12_TIAM_M_2008","FFT",NA,NA,80.86734,NA
"335","BH12_TIAM_T",2008,"BH","BH12","T",NA,NA,NA,NA,3.356,47.341,14.106,84.13251243,"Tilia americana","American basswood","Tiliaceae","broadleaf","late","late hardwood","TIAM","ASD FieldSpec 3","FFT_BH12_TIAM_T_2008","FFT",NA,NA,120.48472,NA
"336","BH14_ACRU_B",2008,"BH","BH14","B",NA,NA,NA,NA,NA,NA,NA,65.9564069,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU",NA,NA,"FFT",NA,NA,85.11206,NA
"337","BH14_CAOV_B",2008,"BH","BH14","B",-4.0360393885,44.53546454,22.27772228,22.25774226,3.194,44.497,13.932,39.07318495,"Carya ovata","Shagbark hickory","Juglandaceae","broadleaf","mid","mid hardwood","CAOV3","ASD FieldSpec 3","FFT_BH14_CAOV_B_2008","FFT",NA,NA,66.93596,NA
"338","BH14_CAOV_M",2008,"BH","BH14","M",-4.9137195155,NA,NA,NA,3.1245,43.901,14.079,52.35153749,"Carya ovata","Shagbark hickory","Juglandaceae","broadleaf","mid","mid hardwood","CAOV3","ASD FieldSpec 3","FFT_BH14_CAOV_M_2008","FFT",NA,NA,86.96233,NA
"339","BH14_CAOV_T",2008,"BH","BH14","T",-4.195107374,41.53846154,20.75924076,20.77922078,3.3205,45.0305,13.5605,68.89505869,"Carya ovata","Shagbark hickory","Juglandaceae","broadleaf","mid","mid hardwood","CAOV3","ASD FieldSpec 3","FFT_BH14_CAOV_T_2008","FFT",NA,NA,108.73012,NA
"340","BH14_PIRE_BA",2008,"BH","BH14","B",NA,NA,NA,NA,1.453,52.239,35.943,NA,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE",NA,NA,"FFT",NA,NA,NA,NA
"341","BH14_PIRE_BN",2008,"BH","BH14","B",NA,NA,NA,NA,NA,NA,NA,NA,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_BH14_PIRE_BN_2008","FFT","N",NA,NA,NA
"342","BH14_PIRE_BO",2008,"BH","BH14","B",NA,NA,NA,NA,NA,NA,NA,NA,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_BH14_PIRE_BO_2008","FFT","O",NA,NA,NA
"343","BH14_PIRE_MA",2008,"BH","BH14","M",NA,NA,NA,NA,1.408,52.5,37.294,NA,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE",NA,NA,"FFT",NA,NA,NA,NA
"344","BH14_PIRE_MN",2008,"BH","BH14","M",NA,NA,NA,NA,NA,NA,NA,NA,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_BH14_PIRE_MN_2008","FFT","N",NA,NA,NA
"345","BH14_PIRE_MO",2008,"BH","BH14","M",NA,NA,NA,NA,NA,NA,NA,NA,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_BH14_PIRE_MO_2008","FFT","O",NA,NA,NA
"346","BH14_PIRE_T",2008,"BH","BH14","T",NA,48.12603016,30.92345186,17.2025783,NA,NA,NA,NA,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE",NA,NA,"FFT",NA,NA,NA,NA
"347","BH14_PIRE_TA",2008,"BH","BH14","T",NA,NA,NA,NA,1.259,50.04,39.747,NA,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE",NA,NA,"FFT",NA,NA,NA,NA
"348","BH14_PIRE_TN",2008,"BH","BH14","T",NA,NA,NA,NA,NA,NA,NA,NA,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_BH14_PIRE_TN_2008","FFT","N",NA,NA,NA
"349","BH14_PIRE_TO",2008,"BH","BH14","T",NA,NA,NA,NA,NA,NA,NA,NA,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_BH14_PIRE_TO_2008","FFT","O",NA,NA,NA
"350","BH14_PIST_BA",2008,"BH","BH14","B",NA,NA,NA,NA,1.921,51.169,26.633,NA,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST",NA,NA,"FFT",NA,NA,NA,NA
"351","BH14_PIST_BN",2008,"BH","BH14","B",NA,NA,NA,NA,NA,NA,NA,NA,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_BH14_PIST_BN_2008","FFT","N",NA,NA,NA
"352","BH14_PIST_BO",2008,"BH","BH14","B",NA,NA,NA,NA,NA,NA,NA,NA,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_BH14_PIST_BO_2008","FFT","O",NA,NA,NA
"353","BH14_PIST_MA",2008,"BH","BH14","M",NA,NA,NA,NA,1.622,52.304,32.25,NA,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST",NA,NA,"FFT",NA,NA,NA,NA
"354","BH14_PIST_MN",2008,"BH","BH14","M",NA,NA,NA,NA,NA,NA,NA,NA,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_BH14_PIST_MN_2008","FFT","N",NA,NA,NA
"355","BH14_PIST_MO",2008,"BH","BH14","M",NA,NA,NA,NA,NA,NA,NA,NA,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_BH14_PIST_MO_2008","FFT","O",NA,NA,NA
"356","BH14_PIST_TA",2008,"BH","BH14","T",NA,NA,NA,NA,2.027,52.07,25.692,NA,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST",NA,NA,"FFT",NA,NA,NA,NA
"357","BH14_PIST_TN",2008,"BH","BH14","T",NA,NA,NA,NA,NA,NA,NA,NA,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_BH14_PIST_TN_2008","FFT","N",NA,NA,NA
"358","BH14_PIST_TO",2008,"BH","BH14","T",NA,NA,NA,NA,NA,NA,NA,NA,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_BH14_PIST_TO_2008","FFT","O",NA,NA,NA
"359","BH14_QUAL_B",2008,"BH","BH14","B",-4.2863859295,26.53876898,10.75139888,15.7873701,2.803,46.484,16.586,55.77996458,"Quercus alba","white oak","Fagaceae","broadleaf","mid","mid hardwood","QUAL","ASD FieldSpec 3","FFT_BH14_QUAL_B_2008","FFT",NA,NA,74.19189,NA
"360","BH14_QUAL_M",2008,"BH","BH14","M",-5.203074784,27.81218781,19.14085914,8.671328671,2.898,46.692,16.109,67.26247436,"Quercus alba","white oak","Fagaceae","broadleaf","mid","mid hardwood","QUAL","ASD FieldSpec 3","FFT_BH14_QUAL_M_2008","FFT",NA,NA,90.33633,NA
"361","BH14_QUAL_T",2008,"BH","BH14","T",-4.476231794,36.28371628,19.36063936,16.92307692,2.382,47.932,20.118,103.1793296,"Quercus alba","white oak","Fagaceae","broadleaf","mid","mid hardwood","QUAL","ASD FieldSpec 3","FFT_BH14_QUAL_T_2008","FFT",NA,NA,109.70967,NA
"362","BH14_QURU_B",2008,"BH","BH14","B",-4.5251054065,35.43532031,17.20636127,18.22895903,2.836,46.609,16.436,NA,"Quercus rubra","northern red oak","Fagaceae","broadleaf","mid","mid hardwood","QURU","ASD FieldSpec 3","FFT_BH14_QURU_B_2008","FFT",NA,NA,NA,NA
"363","BH14_QURU_M",2008,"BH","BH14","M",-4.7719396545,NA,NA,NA,2.637,47.389,17.97,67.15363541,"Quercus rubra","northern red oak","Fagaceae","broadleaf","mid","mid hardwood","QURU","ASD FieldSpec 3","FFT_BH14_QURU_M_2008","FFT",NA,NA,89.90098,NA
"364","BH14_QURU_T",2008,"BH","BH14","T",-4.79169021,45.34092172,24.71048137,20.630440355,2.652,47.478,17.901,101.0025505,"Quercus rubra","northern red oak","Fagaceae","broadleaf","mid","mid hardwood","QURU","ASD FieldSpec 3","FFT_BH14_QURU_T_2008","FFT",NA,NA,118.19911,NA
"365","BH15_CAOV_B",2008,"BH","BH15","B",NA,NA,NA,NA,3.052,45.642,14.952,41.03228614,"Carya ovata","Shagbark hickory","Juglandaceae","broadleaf","mid","mid hardwood","CAOV3","ASD FieldSpec 3","FFT_BH15_CAOV_B_2008","FFT",NA,NA,73.79281,NA
"366","BH15_CAOV_M",2008,"BH","BH15","M",NA,NA,NA,NA,3.283,46.032,14.021,61.8205266,"Carya ovata","Shagbark hickory","Juglandaceae","broadleaf","mid","mid hardwood","CAOV3","ASD FieldSpec 3","FFT_BH15_CAOV_M_2008","FFT",NA,NA,90.22749,NA
"367","BH15_CAOV_T",2008,"BH","BH15","T",NA,NA,NA,NA,2.869,45.101,15.718,76.07842974,"Carya ovata","Shagbark hickory","Juglandaceae","broadleaf","mid","mid hardwood","CAOV3","ASD FieldSpec 3","FFT_BH15_CAOV_T_2008","FFT",NA,NA,108.73012,NA
"368","BH15_PIST_BA",2008,"BH","BH15","B",NA,NA,NA,NA,1.669,51.321,30.747,NA,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST",NA,NA,"FFT",NA,NA,NA,NA
"369","BH15_PIST_BN",2008,"BH","BH15","B",NA,NA,NA,NA,NA,NA,NA,NA,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_BH15_PIST_BN_2008","FFT","N",NA,NA,NA
"370","BH15_PIST_BO",2008,"BH","BH15","B",NA,NA,NA,NA,NA,NA,NA,NA,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_BH15_PIST_BO_2008","FFT","O",NA,NA,NA
"371","BH15_PIST_MA",2008,"BH","BH15","M",NA,NA,NA,NA,1.765,51.984,29.449,NA,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST",NA,NA,"FFT",NA,NA,NA,NA
"372","BH15_PIST_MN",2008,"BH","BH15","M",NA,NA,NA,NA,NA,NA,NA,NA,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_BH15_PIST_MN_2008","FFT","N",NA,NA,NA
"373","BH15_PIST_MO",2008,"BH","BH15","M",NA,NA,NA,NA,NA,NA,NA,NA,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_BH15_PIST_MO_2008","FFT","O",NA,NA,NA
"374","BH15_PIST_TA",2008,"BH","BH15","T",NA,NA,NA,NA,1.888,51.804,27.433,NA,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST",NA,NA,"FFT",NA,NA,NA,NA
"375","BH15_PIST_TN",2008,"BH","BH15","T",NA,NA,NA,NA,NA,NA,NA,NA,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_BH15_PIST_TN_2008","FFT","N",NA,NA,NA
"376","BH15_PIST_TO",2008,"BH","BH15","T",NA,NA,NA,NA,NA,NA,NA,NA,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_BH15_PIST_TO_2008","FFT","O",NA,NA,NA
"377","BH15_QUAL_B",2008,"BH","BH15","B",NA,NA,NA,NA,3.207,48.644,15.168,49.08636883,"Quercus alba","white oak","Fagaceae","broadleaf","mid","mid hardwood","QUAL","ASD FieldSpec 3","FFT_BH15_QUAL_B_2008","FFT",NA,NA,66.39176,NA
"378","BH15_QUAL_M",2008,"BH","BH15","M",NA,NA,NA,NA,3.437,48.572,14.132,56.26973988,"Quercus alba","white oak","Fagaceae","broadleaf","mid","mid hardwood","QUAL","ASD FieldSpec 3","FFT_BH15_QUAL_M_2008","FFT",NA,NA,81.84689,NA
"379","BH15_QUAL_T",2008,"BH","BH15","T",NA,NA,NA,NA,3.097,48.728,15.732,84.35019034,"Quercus alba","white oak","Fagaceae","broadleaf","mid","mid hardwood","QUAL","ASD FieldSpec 3","FFT_BH15_QUAL_T_2008","FFT",NA,NA,94.47221,NA
"380","BH15_QURU_B",2008,"BH","BH15","B",NA,NA,NA,NA,2.753,48.885,17.757,45.49468331,"Quercus rubra","northern red oak","Fagaceae","broadleaf","mid","mid hardwood","QURU","ASD FieldSpec 3","FFT_BH15_QURU_B_2008","FFT",NA,NA,66.60944,NA
"381","BH15_QURU_M",2008,"BH","BH15","M",NA,NA,NA,NA,2.782,49.668,17.853,74.2281675,"Quercus rubra","northern red oak","Fagaceae","broadleaf","mid","mid hardwood","QURU","ASD FieldSpec 3","FFT_BH15_QURU_M_2008","FFT",NA,NA,98.0639,NA
"382","BH15_QURU_T",2008,"BH","BH15","T",NA,NA,NA,NA,2.897,49.943,17.24,91.96891721,"Quercus rubra","northern red oak","Fagaceae","broadleaf","mid","mid hardwood","QURU","ASD FieldSpec 3","FFT_BH15_QURU_T_2008","FFT",NA,NA,120.59356,NA
"383","BH16_ACRU_B",2008,"BH","BH16","B",-2.495790963,29.04771411,13.21621082,15.83150329,2.256,49.721,22.043,32.21633076,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_BH16_ACRU_B_2008","FFT",NA,NA,53.54877,NA
"384","BH16_ACRU_M",2008,"BH","BH16","M",-2.772308886,24.37075509,12.46504195,11.90571314,2.528,50.09,19.814,56.59625675,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_BH16_ACRU_M_2008","FFT",NA,NA,80.64967,NA
"385","BH16_ACRU_T",2008,"BH","BH16","T",NA,22.45305633,12.2253296,10.22772673,2.675,49.159,18.376,54.31063868,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_BH16_ACRU_T_2008","FFT",NA,NA,75.09888,NA
"386","BH16_ACSM_B",2008,"BH","BH16","B",-2.272259101,36.13863602,23.84912141,12.28951461,2.802,46.268,16.514,27.7539336,"Acer saccharum","Sugar maple","Aceraceae","broadleaf","late","late hardwood","ACSA3","ASD FieldSpec 3","FFT_BH16_ACSM_B_2008","FFT",NA,NA,53.22225,NA
"387","BH16_ACSM_M",2008,"BH","BH16","M",NA,29.96978596,13.36059331,16.60919265,1.983,45.456,22.928,27.64509464,"Acer saccharum","Sugar maple","Aceraceae","broadleaf","late","late hardwood","ACSA3","ASD FieldSpec 3","FFT_BH16_ACSM_M_2008","FFT",NA,NA,41.68532,NA
"388","BH16_ACSM_T",2008,"BH","BH16","T",-2.249493126,27.85238064,14.99115714,12.8612235,2.378,45.969,19.334,56.16090092,"Acer saccharum","Sugar maple","Aceraceae","broadleaf","late","late hardwood","ACSA3","ASD FieldSpec 3","FFT_BH16_ACSM_T_2008","FFT",NA,NA,78.14637,NA
"389","BH16_CAOV_B",2008,"BH","BH16","B",-0.806434397,42.373047225,28.039478335,14.33356889,3.257,44.202,13.571,41.46764196,"Carya ovata","Shagbark hickory","Juglandaceae","broadleaf","mid","mid hardwood","CAOV3","ASD FieldSpec 3","FFT_BH16_CAOV_B_2008","FFT",NA,NA,65.95641,NA
"390","BH16_CAOV_M",2008,"BH","BH16","M",-1.4245652365,NA,NA,NA,3.276,44.053,13.447,49.4128857,"Carya ovata","Shagbark hickory","Juglandaceae","broadleaf","mid","mid hardwood","CAOV3","ASD FieldSpec 3","FFT_BH16_CAOV_M_2008","FFT",NA,NA,76.94914,NA
"391","BH16_CAOV_T",2008,"BH","BH16","T",-1.492464864,NA,NA,NA,3.269,44.424,13.591,73.46629481,"Carya ovata","Shagbark hickory","Juglandaceae","broadleaf","mid","mid hardwood","CAOV3","ASD FieldSpec 3","FFT_BH16_CAOV_T_2008","FFT",NA,NA,107.8594,NA
"392","BH16_FRPE_B",2008,"BH","BH16","B",-1.5966903565,43.18272691,19.59216313,23.59056377,3.357,46.655,13.899,30.47490748,"Fraxinus pennsylvanica","green ash","Oleaceae","broadleaf","mid","mid hardwood","FRPE","ASD FieldSpec 3","FFT_BH16_FRPE_B_2008","FFT",NA,NA,60.18794,NA
"393","BH16_FRPE_M",2008,"BH","BH16","M",-1.65131836,42.35764236,30.36963037,11.98801199,3.365,48.349,14.367,30.58374643,"Fraxinus pennsylvanica","green ash","Oleaceae","broadleaf","mid","mid hardwood","FRPE","ASD FieldSpec 3","FFT_BH16_FRPE_M_2008","FFT",NA,NA,78.90824,NA
"394","BH16_FRPE_T",2008,"BH","BH16","T",-1.113670374,37.12514994,16.65333866,20.47181128,3.067,48.14,15.697,72.48674422,"Fraxinus pennsylvanica","green ash","Oleaceae","broadleaf","mid","mid hardwood","FRPE","ASD FieldSpec 3","FFT_BH16_FRPE_T_2008","FFT",NA,NA,102.5263,NA
"395","BH16_PRSE_B",2008,"BH","BH16","B",-2.2955015835,35.11507872,21.47131442,13.6437643,3.199,45.986,14.375,42.01183674,"Prunus serotina","Black cherry","Rosaceae","broadleaf","early","early hardwood","PRSE2","ASD FieldSpec 3","FFT_BH16_PRSE_B_2008","FFT",NA,NA,89.35678,NA
"396","BH16_PRSE_M",2008,"BH","BH16","M",-1.864716736,27.43425135,10.58026368,16.85398766,3.332,46.786,14.04,48.10681823,"Prunus serotina","Black cherry","Rosaceae","broadleaf","early","early hardwood","PRSE2","ASD FieldSpec 3","FFT_BH16_PRSE_M_2008","FFT",NA,NA,75.4254,NA
"397","BH16_PRSE_T",2008,"BH","BH16","T",-1.0646520185,23.80945318,12.51294259,11.29651059,3.347,46.983,14.036,63.77962779,"Prunus serotina","Black cherry","Rosaceae","broadleaf","early","early hardwood","PRSE2","ASD FieldSpec 3","FFT_BH16_PRSE_T_2008","FFT",NA,NA,110.58038,NA
"398","BH16_ULAM_B",2008,"BH","BH16","B",-3.089897803,32.3390034633333,15.46297895,16.8760245133333,2.772,43.138,15.561,38.52899017,"Ulmus americana","American elm","Ulmaceae","broadleaf","mid","mid hardwood","ULAM","ASD FieldSpec 3","FFT_BH16_ULAM_B_2008","FFT",NA,NA,77.3845,NA
"399","BH16_ULAM_M",2008,"BH","BH16","M",-3.1346407845,29.771905045,15.52520965,14.24669539,2.7405,43.5235,15.881,40.81460823,"Ulmus americana","American elm","Ulmaceae","broadleaf","mid","mid hardwood","ULAM","ASD FieldSpec 3","FFT_BH16_ULAM_M_2008","FFT",NA,NA,83.69716,NA
"400","BH16_ULAM_T",2008,"BH","BH16","T",-2.2959647905,28.0346686733333,15.37639367,12.6582750033333,2.346,43.648,18.6065,67.91550809,"Ulmus americana","American elm","Ulmaceae","broadleaf","mid","mid hardwood","ULAM","ASD FieldSpec 3","FFT_BH16_ULAM_T_2008","FFT",NA,NA,113.95439,NA
"401","BI01_ACSM_B",2008,"BI","BI01","B",NA,NA,NA,NA,2.978,47.807,16.052,26.25165146,"Acer saccharum","Sugar maple","Aceraceae","broadleaf","late","late hardwood","ACSA3","ASD FieldSpec 3","FFT_BI01_ACSM_B_2008","FFT",NA,NA,39.3256,NA
"402","BI01_ACSM_M",2008,"BI","BI01","M",NA,NA,NA,NA,2.793,48.584,17.393,53.93460421,"Acer saccharum","Sugar maple","Aceraceae","broadleaf","late","late hardwood","ACSA3","ASD FieldSpec 3","FFT_BI01_ACSM_M_2008","FFT",NA,NA,73.34686,NA
